model,val_auc,test_auc,test_auc_lo,test_auc_hi
Ensemble,0.6811791383219955,0.681956708603579,0.6127143796206653,0.7507191801152173
LGBM_tuned,0.6720440557175251,0.6753535984996484,0.6021663272711956,0.7495181135733632
XGB_tuned,0.6802073210236474,0.6740251621473783,0.6045681432214289,0.7441208537384625
RF,0.6713313896987366,0.6735172306009222,0.6037810656366894,0.7355270261031482
