n_kept_candidates,n_features_total,val_auc,test_auc,test_ap
8,19,0.6203433754454163,0.6095569274048604,0.24434421146366397
12,23,0.6417881438289602,0.6587481440962726,0.24427001521505495
16,27,0.6741820537738905,0.6615613034304915,0.23968840881760328
20,31,0.6763848396501457,0.6614831601156522,0.2550462148606565
25,36,0.6605118237771299,0.6523013206220207,0.2532767376895801
44,55,0.6426303854875284,0.6864499492068453,0.2910428979124126
