,0
stenosis_percent,1.1786065614025039
baseline_crp,0.5666751496679553
age_years,0.4200637458326333
eccentricity_index,0.381587805421121
mean_hu,0.37702073530974783
fibrotic_volume_ratio,0.3660173798108282
baseline_nt_pro_bnp,0.34145647376605
baseline_alt,0.33324818037060433
baseline_wbc,0.3328720206871437
baseline_ck,0.32139814728884586
maximum_area_stenosis_percent,0.32079378410857223
lesion_range_mm,0.2914059272306964
contact_volume_mm3,0.27601839176537135
calcified_mean_hu,0.27414977838538124
fibrous_fatty_plaque_burden,0.27141975021931
low_attenuation_volume_ratio,0.26995429155720163
maximum_diameter_stenosis_percent,0.2696665782829246
minimum_luminal_area_mm3,0.2600023574679502
baseline_uric_acid,0.2534407950716346
lumen_volume_mm3,0.24044618943942295
