model,test_auc,test_auc_lo,test_auc_hi,test_ap
LGBM_tuned_bagged,0.6722669375634915,0.6058311923993341,0.740140259069304,0.28205425917503857
Ensemble_cvweight,0.6690239899976558,0.6000200832129576,0.7379361282998719,0.2671747629833852
Ensemble_equal,0.668320700164101,0.5994672315548345,0.7375189404338376,0.26557162586543914
RF_tuned_bagged,0.6654684691724623,0.6001969403927777,0.7341343387084059,0.27978924597465293
XGB_tuned_bagged,0.6622645932640462,0.5930168276931987,0.7330066545546132,0.26253182158553756
LogReg_EN,0.6290146127998749,0.5592522997333359,0.6993681054575824,0.23074268392377045
