n_keep_per_est,total,val_auc,test_auc
12,26,0.6691933916423712,0.6642963194498711
16,31,0.658568189180434,0.6646870360240681
20,35,0.6629089731130549,0.6542549034930062
25,39,0.672627146096534,0.6592560756427287
30,43,0.6570780693229673,0.6633976713292179
44,55,0.6432782636864269,0.6775025396577322
